symbol,trade_date,open,high,low,close,volume,amount,pct_chg
510300,2021-09-06,4.499,4.597,4.495,4.583,4945359,2468976368.0,1.87
510300,2021-09-07,4.581,4.67,4.567,4.646,4574956,2304933616.0,1.37
510300,2021-09-08,4.65,4.674,4.609,4.625,2369431,1198609520.0,-0.45
510300,2021-09-09,4.612,4.624,4.583,4.623,1825452,917262208.0,-0.04
510300,2021-09-10,4.618,4.708,4.615,4.672,3893350,1982110592.0,1.06
510300,2021-09-13,4.666,4.69,4.616,4.645,3200157,1620670960.0,-0.58
510300,2021-09-14,4.646,4.663,4.558,4.579,3277120,1645687920.0,-1.42
510300,2021-09-15,4.571,4.572,4.498,4.526,2707359,1340902832.0,-1.16
510300,2021-09-16,4.526,4.536,4.462,4.47,4293484,2106848912.0,-1.24
510300,2021-09-17,4.469,4.515,4.449,4.509,5139927,2520613344.0,0.87
510300,2021-09-22,4.441,4.493,4.433,4.476,4916296,2399574656.0,-0.73
510300,2021-09-23,4.498,4.536,4.487,4.505,2869732,1413518496.0,0.65
510300,2021-09-24,4.509,4.556,4.499,4.512,4647712,2299464432.0,0.16
510300,2021-09-27,4.526,4.579,4.502,4.544,3598936,1786172112.0,0.71
510300,2021-09-28,4.536,4.561,4.507,4.535,2636353,1306079040.0,-0.2
510300,2021-09-29,4.503,4.53,4.459,4.502,5922611,2909490208.0,-0.73
510300,2021-09-30,4.504,4.534,4.502,4.516,3129597,1544835056.0,0.31
510300,2021-10-08,4.559,4.596,4.552,4.587,2446241,1222701424.0,1.57
510300,2021-10-11,4.595,4.641,4.582,4.586,2603224,1309512480.0,-0.02
510300,2021-10-12,4.568,4.579,4.494,4.534,3306068,1639579408.0,-1.13
510300,2021-10-13,4.526,4.606,4.524,4.59,2535737,1264333984.0,1.24
510300,2021-10-14,4.584,4.609,4.552,4.563,1998087,998317200.0,-0.59
510300,2021-10-15,4.56,4.598,4.541,4.587,2179701,1089703600.0,0.53
510300,2021-10-18,4.584,4.585,4.497,4.529,2512605,1241208464.0,-1.26
510300,2021-10-19,4.521,4.581,4.518,4.576,2884698,1436191680.0,1.04
510300,2021-10-20,4.581,4.603,4.552,4.562,1566963,782001184.0,-0.31
510300,2021-10-21,4.561,4.608,4.543,4.584,2240855,1119219632.0,0.48
510300,2021-10-22,4.591,4.653,4.591,4.617,3345973,1686635696.0,0.72
510300,2021-10-25,4.603,4.642,4.592,4.634,2653745,1336929136.0,0.37
510300,2021-10-26,4.636,4.669,4.604,4.617,2479095,1251852288.0,-0.37
510300,2021-10-27,4.605,4.605,4.539,4.551,2781043,1385676608.0,-1.43
510300,2021-10-28,4.541,4.558,4.507,4.53,4413412,2185194496.0,-0.46
510300,2021-10-29,4.527,4.563,4.515,4.562,4264847,2114092672.0,0.71
510300,2021-11-01,4.538,4.569,4.52,4.546,1950023,967955360.0,-0.35
510300,2021-11-02,4.543,4.576,4.455,4.494,4294135,2119278880.0,-1.14
510300,2021-11-03,4.491,4.517,4.46,4.474,3406351,1671068448.0,-0.45
510300,2021-11-04,4.494,4.532,4.493,4.521,2844233,1403738128.0,1.05
510300,2021-11-05,4.511,4.548,4.503,4.504,2656008,1312374544.0,-0.38
510300,2021-11-08,4.501,4.529,4.483,4.5,3124852,1539084832.0,-0.09
510300,2021-11-09,4.516,4.533,4.473,4.498,2628400,1292760720.0,-0.04
510300,2021-11-10,4.494,4.494,4.407,4.473,4894264,2379856064.0,-0.56
510300,2021-11-11,4.463,4.556,4.461,4.553,3523650,1740182224.0,1.79
510300,2021-11-12,4.557,4.572,4.535,4.551,2729067,1355972400.0,-0.04
510300,2021-11-15,4.555,4.572,4.524,4.545,3359154,1667408832.0,-0.13
510300,2021-11-16,4.547,4.577,4.531,4.541,3518703,1750476656.0,-0.09
510300,2021-11-17,4.534,4.555,4.522,4.54,2269818,1125215664.0,-0.02
510300,2021-11-18,4.528,4.533,4.483,4.496,3606012,1774308240.0,-0.97
510300,2021-11-19,4.491,4.557,4.486,4.551,2759206,1365616720.0,1.22
510300,2021-11-22,4.555,4.576,4.548,4.564,3536475,1761554912.0,0.29
510300,2021-11-23,4.557,4.581,4.547,4.567,3172672,1582334512.0,0.07
510300,2021-11-24,4.567,4.597,4.555,4.578,1785947,891904464.0,0.24
510300,2021-11-25,4.579,4.58,4.551,4.559,1372600,683495472.0,-0.42
510300,2021-11-26,4.546,4.547,4.508,4.517,2046378,1011650368.0,-0.92
510300,2021-11-29,4.481,4.519,4.481,4.51,2338560,1151391536.0,-0.15
510300,2021-11-30,4.513,4.53,4.469,4.492,1836800,903625440.0,-0.4
510300,2021-12-01,4.492,4.51,4.488,4.505,2116262,1040600304.0,0.29
510300,2021-12-02,4.501,4.526,4.484,4.515,1610351,794007120.0,0.22
510300,2021-12-03,4.515,4.561,4.507,4.56,2196321,1087954880.0,1.0
510300,2021-12-06,4.563,4.597,4.55,4.555,3328991,1663482016.0,-0.11
510300,2021-12-07,4.576,4.59,4.559,4.583,2124268,1060624160.0,0.61
510300,2021-12-08,4.588,4.66,4.57,4.655,3411917,1721655424.0,1.57
510300,2021-12-09,4.659,4.785,4.657,4.739,6332212,3267970656.0,1.8
510300,2021-12-10,4.724,4.731,4.704,4.724,3961260,2035800624.0,-0.32
510300,2021-12-13,4.748,4.808,4.73,4.737,4290338,2227870768.0,0.28
510300,2021-12-14,4.718,4.736,4.696,4.706,3626878,1860581408.0,-0.65
510300,2021-12-15,4.701,4.717,4.656,4.66,2035832,1038757248.0,-0.98
